Customer_ID,Age,Gender,Income_Level,Education_Level,Marital_Status,Credit_Score,Monthly_Expenditure,Payment_Default,Card_Type,Transaction_Frequency,Online_Purchase_Ratio,Spending_Category,Transaction_Amount,Monthly_Income,Monthly_Income_INR,Monthly_Expenditure_INR,Transaction_Amount_INR,City_or_State
CUST0000001,56,Female,Medium,Master's,Married,405,621.3,No,Gold,22,0.64,Healthcare,28.24,5627.16,467054.28,51567.9,2343.92,West Bengal
CUST0000002,69,Female,High,Master's,Divorced,763,2526.34,No,Standard,43,0.72,Utilities,58.75,14438.15,1198366.45,209686.22,4876.25,Mumbai
CUST0000003,46,Male,High,Master's,Divorced,545,3085.19,Yes,Gold,9,0.5,Entertainment,342.8,10728.22,890442.26,256070.77,28452.4,Kolkata
CUST0000004,32,Male,Low,Bachelor's,Single,380,1447.05,No,Gold,20,0.39,Dining,72.35,2849,236467,120105.15,6005.05,Ahmedabad
CUST0000005,60,Female,Medium,High School,Married,695,3612.31,No,Gold,15,0.45,Dining,240.82,4376.56,363254.48,299821.73,19988.06,Jaipur
CUST0000006,25,Female,High,High School,Single,821,3015.09,No,Platinum,39,0.41,Groceries,77.31,11825.53,981518.99,250252.47,6416.73,Pune
CUST0000007,78,Female,Low,Master's,Married,563,1691.64,No,Platinum,15,0.87,Healthcare,112.78,1835.99,152387.17,140406.12,9360.74,Lucknow
CUST0000008,38,Female,Medium,High School,Married,573,224.32,No,Gold,46,0.71,Entertainment,4.88,4724.91,392167.53,18618.56,405.04,Ahmedabad
CUST0000009,56,Female,High,Bachelor's,Single,471,3775.74,No,Gold,27,0.27,Utilities,139.84,9047.46,750939.18,313386.42,11606.72,Delhi
CUST0000010,75,Female,Medium,Bachelor's,Divorced,564,1152.29,No,Standard,38,0.41,Groceries,30.32,4784.39,397104.37,95640.07,2516.56,Madhya Pradesh
CUST0000011,36,Male,Low,High School,Single,325,4188.92,No,Platinum,21,0.54,Electronics,199.47,2376.18,197222.94,347680.36,16556.01,Karnataka
CUST0000012,40,Female,Medium,High School,Married,768,2159.42,No,Standard,14,0.59,Dining,154.24,5503.89,456822.87,179231.86,12801.92,Kolkata
CUST0000013,28,Male,Low,Bachelor's,Married,775,2927.68,No,Standard,22,0.47,Online Shopping,133.08,1344.35,111581.05,242997.44,11045.64,Tamil Nadu
CUST0000014,28,Male,Medium,Bachelor's,Married,655,4377.45,No,Standard,48,0.75,Other,91.2,6140.05,509624.15,363328.35,7569.6,Madhya Pradesh
CUST0000015,41,Other,Low,High School,Single,325,4331.75,No,Standard,12,0.71,Travel,360.98,2094.37,173832.71,359535.25,29961.34,Bangalore
